40500000.0,-54340579.85576346,-13840579.855763458,0.0
40494564.92919508,-54339233.11488552,-13844668.185690433,10.0
40482378.32432099,-54335192.31795759,-13852813.9936366,20.0
40463512.33916538,-54328461.46063617,-13864949.121470787,30.0
40438078.16074654,-54319047.61884515,-13880969.458098613,40.0
40406224.36473939,-54306960.884161875,-13900736.519422486,50.0
40368134.755990356,-54292214.273131534,-13924079.517141178,60.0
40324025.7524827,-54274823.61226874,-13950797.859786041,70.0
40274143.38151768,-54254807.400931664,-13980664.019413985,80.0
40218759.96436183,-54232186.654607415,-14013426.690245584,90.0
40158170.57000925,-54206984.73142335,-14048814.161414102,100.0
40092689.32002824,-54179227.144888535,-14086537.824860297,110.0
40022645.624880925,-54148941.36597482,-14126295.741093896,120.0
39948380.42793378,-54116156.61766872,-14167776.189734936,130.0
39870242.52703764,-54080903.6650693,-14210661.138031654,140.0
39788585.035528325,-54043214.60398352,-14254629.568455197,150.0
39703762.03530312,-54003122.65078589,-14299360.61548277,160.0
39616125.46476517,-53960661.93607901,-14344536.471313842,170.0
39526022.2743767,-53915867.30442416,-14389845.030047461,180.0
39433791.872733146,-53868774.12212074,-14434982.249387592,190.0
39339763.87680881,-53819418.09470898,-14479654.217900172,200.0
39244256.17159407,-53767835.09556448,-14523578.923970409,210.0
39147573.27692695,-53714061.00665192,-14566487.729724973,220.0
39050005.01302507,-53658131.57221819,-14608126.55919312,230.0
38951825.4510896,-53600082.26593647,-14648256.814846873,240.0
38853292.131361574,-53539948.17176746,-14686656.040405884,250.0
38754645.52810455,-53477763.8785843,-14723118.350479752,260.0
38656108.739070244,-53413563.388415806,-14757454.649345562,270.0
38557887.37596246,-53347380.03799783,-14789492.662035368,280.0
38460169.632121965,-53279246.43318603,-14819076.801064067,290.0
38363126.50398225,-53209194.39567189,-14846067.891689636,300.0
38266912.14366657,-53137254.92135737,-14870342.777690798,310.0
38171664.32129372,-53063458.149678916,-14891793.828385197,320.0
38077504.9770265,-52987833.34312755,-14910328.366101049,330.0
37984540.84453871,-52910408.87618399,-14925868.031645276,340.0
37892864.1293164,-52831212.232876495,-14938348.103560098,350.0
37802553.226980776,-52750270.01216931,-14947716.785188533,360.0
37713673.46857009,-52667607.94040183,-14953934.471831739,370.0
37626277.881408855,-52583250.89001731,-14956973.008608453,380.0
37540407.95579273,-52497222.90384783,-14956814.948055096,390.0
37456094.40920747,-52409547.22425309,-14953452.815045618,400.0
37373357.94116793,-52320246.32644641,-14946888.385278478,410.0
37292209.973000966,-52229341.9553789,-14937131.982377931,420.0
37212653.36800457,-52136855.16559274,-14924201.79758817,430.0
37134683.128395595,-52042806.363493614,-14908123.23509802,440.0
37058287.06631597,-51947215.35153279,-14888928.285216816,450.0
36983446.44691042,-51850101.37382862,-14866654.926918201,460.0
36910136.602124594,-51751483.16279519,-14841346.5606706,470.0
36838327.51441086,-51651378.986382745,-14813051.471971884,480.0
36767984.369980864,-51549806.69557023,-14781822.325589366,490.0
36699068.08161574,-51446783.771783136,-14747715.690167397,500.0
36631535.7813491,-51342327.373942286,-14710791.592593186,510.0
36565341.283580646,-51236454.38487852,-14671113.101297878,520.0
36500435.51936876,-51129181.45687662,-14628745.93750786,530.0
36436766.9427964,-51020525.05613768,-14583758.11334128,540.0
36374281.91041148,-50910501.50597384,-14536219.595562361,550.0
36312925.03481823,-50799127.02857172,-14486201.993753485,560.0
36252639.51354379,-50686417.78518204,-14433778.271638244,570.0
36193367.434330255,-50572389.91461261,-14379022.480282359,580.0
36135050.05800976,-50457059.569919616,-14322009.511909857,590.0
36077628.08011368,-50340442.95320924,-14262814.873095565,600.0
36021041.87234793,-50222556.34847674,-14201514.47612881,610.0
35965231.7050394,-50103416.15242488,-14138184.447385482,620.0
35910137.95162428,-49983038.90321633,-14072900.95159205,630.0
35855701.27620993,-49861441.307127215,-14005740.030917287,640.0
35801862.80519957,-49738640.263080284,-13936777.457880713,650.0
35748564.28392504,-49614652.885046296,-13866088.601121254,660.0
35695748.21918673,-49489496.522312246,-13793748.303125516,670.0
35643358.00855487,-49363188.77762366,-13719830.769068792,680.0
35591338.05724072,-49235747.52321654,-13644409.465975821,690.0
35539633.88330187,-49107190.91476202,-13567557.031460151,700.0
35488192.21190362,-48977537.4032539,-13489345.191350281,710.0
35436961.05931619,-48846805.74487531,-13409844.685559124,720.0
35385889.807289034,-48715015.00888715,-13329125.201598115,730.0
35334929.26840546,-48582184.58358564,-13247255.315180182,740.0
35284031.7429857,-48448334.180381894,-13164302.437396191,750.0
35233151.068072855,-48313483.83606025,-13080332.767987393,760.0
35182242.659005485,-48177653.91327655,-12995411.254271068,770.0
35131263.54405053,-48040865.09936098,-12909601.55531045,780.0
35080172.39254333,-47903138.40349291,-12822966.010949582,790.0
35028929.536956295,-47764495.15231876,-12735565.615362465,800.0
34977496.989293225,-47624956.984085545,-12647459.99479232,810.0
34925838.45218518,-47484545.84136502,-12558707.38917984,820.0
34873919.32504255,-47343283.96244561,-12469364.637403056,830.0
34821706.70559934,-47201193.87146964,-12379487.165870301,840.0
34769169.387167856,-47058298.36739541,-12289128.980227552,850.0
34716277.8519058,-46914620.511863746,-12198342.659957945,860.0
34663004.260381706,-46770183.616049275,-12107179.355667569,870.0
34609322.437711544,-46625011.22657697,-12015688.788865425,880.0
34555207.856524855,-46479127.110583946,-11923919.254059091,890.0
34500637.61700707,-46332555.240006365,-11831917.622999296,900.0
34445590.42425267,-46185319.77517064,-11739729.350917973,910.0
34390046.56315272,-46037445.04776683,-11647398.484614104,920.0
